Question Sent,question_Response_type,response to question,updated_at,Voter ID
Planning to vote?,yes_no,No,2022-09-30 16:30:35.063947Z,1199159941
Planning to vote?,yes_no,Yes,2022-09-30 16:54:04.641891Z,1216330175
Planning to vote?,yes_no,Yes,2022-09-30 19:06:54.005040Z,1219762392
Planning to vote?,yes_no,Yes,2022-09-30 19:49:11.434473Z,1111158835
Planning to vote?,yes_no,Yes,2022-09-30 19:49:27.027781Z,2001172788
Planning to vote?,yes_no,No,2022-09-30 19:49:36.127873Z,1219036818
Planning to vote?,yes_no,Yes,2022-09-30 19:49:48.704461Z,2176486300
Planning to vote?,yes_no,Yes,2022-09-30 19:50:01.742209Z,1202793966
Planning to vote?,yes_no,Yes,2022-09-30 19:50:20.887190Z,1103045569
Planning to vote?,yes_no,No,2022-09-30 19:50:35.894984Z,2144886134
Planning to vote?,yes_no,Yes,2022-09-30 19:50:58.703015Z,1111191881
Planning to vote?,yes_no,Yes,2022-09-30 19:51:10.211424Z,1108858843
Planning to vote?,yes_no,No,2022-09-30 19:51:17.149311Z,1174165311
Planning to vote?,yes_no,No,2022-09-30 19:51:25.454383Z,1111917349
Planning to vote?,yes_no,Yes,2022-09-29 18:33:32.731774Z,1144441025
Planning to vote?,yes_no,Yes,2022-09-30 15:55:42.745009Z,1103049503
Planning to vote?,yes_no,Yes,2022-09-29 18:41:28.706442Z,1043427395
Planning to vote?,yes_no,Yes,2022-09-29 18:38:29.159755Z,1146383861
Planning to vote?,yes_no,Yes,2022-09-29 18:15:01.432667Z,2170447899
Planning to vote?,yes_no,Yes,2022-09-29 18:37:41.394491Z,2173951744
Planning to vote?,yes_no,Yes,2022-09-29 18:28:00.507593Z,1203537020
Planning to vote?,yes_no,Yes,2022-09-29 20:34:11.673175Z,2184567301
Planning to vote?,yes_no,No,2022-09-29 20:22:38.315542Z,2123590810
Planning to vote?,yes_no,Yes,2022-09-30 15:39:10.944436Z,2184040842
Planning to vote?,yes_no,Yes,2022-09-29 18:22:20.012229Z,2156642512
Planning to vote?,yes_no,Yes,2022-09-29 20:32:29.431389Z,2127199855
Planning to vote?,yes_no,No,2022-09-30 15:48:27.354653Z,2121986057
Planning to vote?,yes_no,Yes,2022-09-29 20:08:49.909538Z,2186281584
Planning to vote?,yes_no,Yes,2022-09-29 18:18:21.235367Z,2179192264
Planning to vote?,yes_no,Yes,2022-09-30 16:09:23.779174Z,1112344251
Planning to vote?,yes_no,Yes,2022-09-30 15:34:55.727285Z,1103942287
Planning to vote?,yes_no,Yes,2022-09-29 20:11:44.322231Z,1201571112
Planning to vote?,yes_no,No,2022-09-30 15:51:33.142659Z,2001754649
Planning to vote?,yes_no,Yes,2022-09-30 15:56:31.780919Z,2158213781
Planning to vote?,yes_no,Yes,2022-09-29 18:46:33.147044Z,2177942933
Planning to vote?,yes_no,Yes,2022-09-29 20:35:35.055059Z,2124474180
Planning to vote?,yes_no,Yes,2022-09-29 20:21:32.834611Z,2179356118
Planning to vote?,yes_no,Yes,2022-09-30 15:35:47.170335Z,2164686043
Planning to vote?,yes_no,Yes,2022-09-30 15:49:14.365218Z,2142760737
Planning to vote?,yes_no,Yes,2022-09-30 15:41:19.164357Z,2164272012
Planning to vote?,yes_no,No,2022-09-30 15:34:27.664579Z,2153867488
Planning to vote?,yes_no,Yes,2022-09-29 22:48:19.569878Z,1212405184
Planning to vote?,yes_no,Yes,2022-09-30 15:40:21.541252Z,1102365946
Planning to vote?,yes_no,Yes,2022-09-30 15:59:03.847896Z,1109255465
Planning to vote?,yes_no,No,2022-09-30 15:49:32.039450Z,2164685932
Planning to vote?,yes_no,No,2022-09-30 15:44:06.292817Z,1211848700
Planning to vote?,yes_no,Yes,2022-09-30 15:54:47.331983Z,--
Planning to vote?,yes_no,Yes,2022-09-29 16:59:57.133681Z,2159634239
Planning to vote?,yes_no,Yes,2022-09-29 16:59:27.353663Z,2129640847
Planning to vote?,yes_no,Yes,2022-09-29 16:43:44.616928Z,2128428129
Planning to vote?,yes_no,No,2022-09-29 17:01:29.275050Z,1161348367
Planning to vote?,yes_no,No,2022-09-30 15:48:01.650324Z,2163935663
Planning to vote?,yes_no,Yes,2022-09-29 16:42:05.344464Z,2186508278
Planning to vote?,yes_no,Yes,2022-09-29 22:25:08.194763Z,1102344612
Planning to vote?,yes_no,Yes,2022-09-29 17:00:19.542549Z,2180450496
Planning to vote?,yes_no,No,2022-09-30 15:45:56.956641Z,1147395094
Planning to vote?,yes_no,No,2022-09-29 17:07:37.862655Z,1110611620
Planning to vote?,yes_no,Yes,2022-09-29 16:44:40.321767Z,1112447565
Planning to vote?,yes_no,No,2022-09-30 15:53:47.845543Z,2137839489
Planning to vote?,yes_no,Yes,2022-09-29 17:02:20.742895Z,1150168717
Planning to vote?,yes_no,Yes,2022-09-30 15:46:44.837758Z,1180944303
Planning to vote?,yes_no,No,2022-09-29 16:51:08.699826Z,1105752187
Planning to vote?,yes_no,Yes,2022-09-30 16:13:08.579265Z,1180830706
Planning to vote?,yes_no,Yes,2022-09-29 22:26:49.794647Z,2156760673
Planning to vote?,yes_no,Yes,2022-09-29 17:14:38.205308Z,1103069179
Planning to vote?,yes_no,Yes,2022-09-29 16:43:44.589433Z,2177336319
Planning to vote?,yes_no,Yes,2022-09-29 16:40:26.926662Z,1104248838
Planning to vote?,yes_no,Yes,2022-09-29 17:13:37.480692Z,1112405725
Planning to vote?,yes_no,Yes,2022-09-30 15:37:15.182152Z,1103032468
Planning to vote?,yes_no,No,2022-09-29 22:09:01.674147Z,1171719970
Planning to vote?,yes_no,Yes,2022-09-30 16:15:20.109790Z,1121548492
Planning to vote?,yes_no,No,2022-09-29 17:20:15.474621Z,2165258760
Planning to vote?,yes_no,Yes,2022-09-30 15:57:55.963379Z,2179361930
Planning to vote?,yes_no,Yes,2022-09-29 16:54:59.747793Z,2166127963
Planning to vote?,yes_no,Yes,2022-09-30 16:16:31.922302Z,2183834737
Planning to vote?,yes_no,Yes,2022-09-29 16:44:08.933510Z,1119196179
Planning to vote?,yes_no,No,2022-09-29 16:47:50.593940Z,1112335062
Planning to vote?,yes_no,Yes,2022-09-30 15:45:12.947592Z,1203400517
Planning to vote?,yes_no,No,2022-09-29 16:59:37.681731Z,1166780672
Planning to vote?,yes_no,Yes,2022-09-30 16:09:00.074751Z,1102280756
Planning to vote?,yes_no,No,2022-09-30 15:56:16.218490Z,1103577879
Planning to vote?,yes_no,Yes,2022-09-30 15:54:58.627434Z,2141580130
Planning to vote?,yes_no,Yes,2022-09-29 16:59:13.331964Z,2003071645
Planning to vote?,yes_no,No,2022-09-30 15:44:18.429304Z,1110277717
Planning to vote?,yes_no,Yes,2022-09-30 15:55:31.401800Z,2180332978
Planning to vote?,yes_no,Yes,2022-09-30 15:53:57.522013Z,2188489848
Planning to vote?,yes_no,Yes,2022-09-30 16:15:04.648451Z,2177616562
Planning to vote?,yes_no,Yes,2022-09-30 15:51:11.710356Z,2143516585
Planning to vote?,yes_no,No,2022-09-29 17:49:10.376132Z,1218577067
Planning to vote?,yes_no,No,2022-09-29 20:22:50.881337Z,1206397977
Planning to vote?,yes_no,Yes,2022-09-29 17:42:53.063136Z,2161674570
Planning to vote?,yes_no,Yes,2022-09-30 16:00:26.826104Z,2159200426
Planning to vote?,yes_no,No,2022-09-29 17:38:26.386284Z,1165291223
Planning to vote?,yes_no,Yes,2022-09-29 17:26:25.904820Z,2179784020
Planning to vote?,yes_no,Yes,2022-09-29 17:42:41.750455Z,2120800245
Planning to vote?,yes_no,Yes,2022-09-29 20:08:12.001722Z,2002175359
Planning to vote?,yes_no,Yes,2022-09-29 17:44:20.915642Z,2178529666
Planning to vote?,yes_no,Yes,2022-09-29 18:21:55.642227Z,1139406086
Planning to vote?,yes_no,Yes,2022-09-29 18:40:26.733276Z,1061260847
Planning to vote?,yes_no,Yes,2022-09-29 17:31:02.590365Z,1119178625
Planning to vote?,yes_no,Yes,2022-09-29 17:31:18.894826Z,1170768035
Planning to vote?,yes_no,No,2022-09-29 17:39:07.289012Z,1102265724
Planning to vote?,yes_no,Yes,2022-09-29 17:42:25.638207Z,1102298111
Planning to vote?,yes_no,Yes,2022-09-29 18:20:52.510551Z,2187464508
Planning to vote?,yes_no,Yes,2022-09-29 18:22:50.754208Z,2185581064
Planning to vote?,yes_no,Yes,2022-09-29 18:49:31.891745Z,2132768912
Planning to vote?,yes_no,Yes,2022-09-29 17:51:22.990465Z,2135517680
Planning to vote?,yes_no,No,2022-09-29 17:39:13.112953Z,1112409138
Planning to vote?,yes_no,Yes,2022-09-29 18:50:33.500727Z,1108812362
Planning to vote?,yes_no,Yes,2022-09-29 17:38:31.394458Z,2136828547
Planning to vote?,yes_no,Yes,2022-09-29 17:42:15.130295Z,1114347291
Planning to vote?,yes_no,No,2022-09-30 15:58:33.424075Z,1191763736
Planning to vote?,yes_no,No,2022-09-29 19:55:51.738510Z,1102752620
Planning to vote?,yes_no,Yes,2022-09-29 18:47:27.147688Z,1111191615
Planning to vote?,yes_no,Yes,2022-09-29 17:37:37.270503Z,1103184488
Planning to vote?,yes_no,Yes,2022-09-29 17:38:02.739870Z,2164259200
Planning to vote?,yes_no,Yes,2022-09-29 17:38:23.229207Z,2137960816
Planning to vote?,yes_no,Yes,2022-09-29 17:43:58.854604Z,1153898979
Planning to vote?,yes_no,Yes,2022-09-29 18:29:08.302013Z,1102311807
Planning to vote?,yes_no,Yes,2022-09-29 20:03:58.828516Z,1103719255
Planning to vote?,yes_no,No,2022-09-29 17:38:49.326105Z,2144591279
Planning to vote?,yes_no,Yes,2022-09-29 17:42:00.509626Z,1209727599
Planning to vote?,yes_no,Yes,2022-09-29 20:07:34.180078Z,2145999724
Planning to vote?,yes_no,Yes,2022-09-29 17:39:34.460369Z,2135421529
Planning to vote?,yes_no,Yes,2022-09-29 20:22:29.037430Z,1143689024
Planning to vote?,yes_no,Yes,2022-09-29 17:40:29.221779Z,2152579211
Planning to vote?,yes_no,Yes,2022-09-29 17:40:42.977900Z,1102288536
Planning to vote?,yes_no,No,2022-09-29 17:40:57.938867Z,1111875457
Planning to vote?,yes_no,No,2022-09-29 18:34:44.308326Z,2168552480
Planning to vote?,yes_no,Yes,2022-09-29 17:53:27.347971Z,1213440415
Planning to vote?,yes_no,Yes,2022-09-29 17:41:58.447912Z,1110122288
Planning to vote?,yes_no,Yes,2022-09-29 17:42:30.862221Z,1110198951
Planning to vote?,yes_no,No,2022-09-29 17:52:34.152046Z,2176521321
Planning to vote?,yes_no,Yes,2022-09-29 17:43:02.680736Z,1111925709
Planning to vote?,yes_no,Yes,2022-09-29 20:35:03.888412Z,1108806210
Planning to vote?,yes_no,Yes,2022-09-29 18:51:17.114059Z,2001837800
Planning to vote?,yes_no,Yes,2022-09-29 18:15:56.994765Z,2175950837
Planning to vote?,yes_no,Yes,2022-09-29 18:02:41.793889Z,2174747904
Planning to vote?,yes_no,Yes,2022-09-29 20:04:12.375917Z,1185767924
Planning to vote?,yes_no,No,2022-09-29 17:50:16.790259Z,1111908536
Planning to vote?,yes_no,Yes,2022-09-29 17:50:26.883876Z,1152945860
Planning to vote?,yes_no,Yes,2022-09-29 17:52:03.014273Z,1110661687
Do you have the proper ID to vote?,multiple_choice,Yes,2022-09-29 18:47:29.644413Z,1111191615
Do you have the proper ID to vote?,multiple_choice,Yes,2022-09-29 18:21:57.638280Z,1139406086
Do you have the proper ID to vote?,multiple_choice,Yes,2022-09-30 16:09:15.716166Z,2173951744
Do you have the proper ID to vote?,multiple_choice,Yes,2022-09-29 22:25:10.325259Z,1102344612
Do you have the proper ID to vote?,multiple_choice,Yes,2022-09-29 22:25:32.537244Z,1152945860
Do you have the proper ID to vote?,multiple_choice,No,2022-09-29 16:51:03.066187Z,1105752187
Do you have the proper ID to vote?,multiple_choice,Yes,2022-09-29 16:44:41.940173Z,1112447565
Do you have the proper ID to vote?,multiple_choice,Yes,2022-09-30 15:56:33.486645Z,2158213781
Do you have the proper ID to vote?,multiple_choice,Yes,2022-09-29 16:45:07.646595Z,1119196179
Do you have the proper ID to vote?,multiple_choice,Yes,2022-09-29 17:20:44.347559Z,1103069179
Do you have the proper ID to vote?,multiple_choice,Yes,2022-09-29 16:54:58.201770Z,2166127963
Do you have the proper ID to vote?,multiple_choice,Yes,2022-09-29 16:48:07.603510Z,1104248838
Do you have the proper ID to vote?,multiple_choice,Unsure,2022-09-29 16:55:35.818940Z,1216330175
Do you have the proper ID to vote?,multiple_choice,Unsure,2022-09-30 15:35:03.128141Z,1103942287
Do you have the proper ID to vote?,multiple_choice,Yes,2022-09-29 17:41:18.028430Z,2136828547
Do you have the proper ID to vote?,multiple_choice,Yes,2022-09-29 17:25:16.593427Z,2179361930
Do you have the proper ID to vote?,multiple_choice,Yes,2022-09-29 17:37:09.630587Z,1170768035
Do you have the proper ID to vote?,multiple_choice,Yes,2022-09-29 17:48:41.662965Z,2170447899
Do you have the proper ID to vote?,multiple_choice,Yes,2022-09-29 18:24:37.870894Z,2174747904
Do you have the proper ID to vote?,multiple_choice,Yes,2022-09-29 17:37:40.495277Z,1103184488
Do you have the proper ID to vote?,multiple_choice,Yes,2022-09-29 17:43:57.052472Z,1153898979
Do you have the proper ID to vote?,multiple_choice,Yes,2022-09-29 17:51:24.661926Z,2135517680
Do you have the proper ID to vote?,multiple_choice,Yes,2022-09-29 19:57:35.452631Z,1043427395
Do you have the proper ID to vote?,multiple_choice,Yes,2022-09-29 18:22:38.619169Z,2156642512
Texting correct person,multiple_choice,Contacted,2022-09-30 16:30:36.301585Z,1199159941
Texting correct person,multiple_choice,Contacted,2022-09-30 19:06:55.434335Z,1219762392
Texting correct person,multiple_choice,Refused,2022-09-30 19:07:01.009733Z,1119270440
Texting correct person,multiple_choice,Contacted,2022-09-30 19:49:10.702380Z,1111158835
Texting correct person,multiple_choice,Contacted,2022-09-30 19:49:28.461764Z,2001172788
Texting correct person,multiple_choice,Contacted,2022-09-30 19:49:37.438569Z,1219036818
Texting correct person,multiple_choice,Contacted,2022-09-30 19:49:50.148274Z,2176486300
Texting correct person,multiple_choice,Contacted,2022-09-30 19:50:03.133188Z,1202793966
Texting correct person,multiple_choice,Contacted,2022-09-30 19:50:22.274376Z,1103045569
Texting correct person,multiple_choice,Contacted,2022-09-30 19:50:37.918063Z,2144886134
Texting correct person,multiple_choice,Contacted,2022-09-30 19:50:46.680170Z,2183834737
Texting correct person,multiple_choice,Contacted,2022-09-30 19:50:59.691995Z,1111191881
Texting correct person,multiple_choice,Contacted,2022-09-30 19:51:08.593554Z,1108858843
Texting correct person,multiple_choice,Contacted,2022-09-30 19:51:18.552081Z,1174165311
Texting correct person,multiple_choice,Contacted,2022-09-30 19:51:27.759215Z,1111917349
Texting correct person,multiple_choice,Contacted,2022-09-30 19:51:37.554783Z,2156760673
Texting correct person,multiple_choice,Contacted,2022-09-30 19:51:52.458708Z,1203537020
Texting correct person,multiple_choice,Refused,2022-09-30 16:06:38.854619Z,1119261824
Texting correct person,multiple_choice,Wrong Number,2022-09-29 18:27:33.121954Z,1185864040
Texting correct person,multiple_choice,Contacted,2022-09-30 15:37:16.342537Z,1103032468
Texting correct person,multiple_choice,Wrong Number,2022-09-29 18:02:05.819445Z,1204715957
Texting correct person,multiple_choice,Wrong Number,2022-09-29 18:02:45.863239Z,2174747904
Texting correct person,multiple_choice,Wrong Number,2022-09-29 18:21:45.955304Z,1203158450
Texting correct person,multiple_choice,Contacted,2022-09-29 19:55:53.771608Z,1102752620
Texting correct person,multiple_choice,Contacted,2022-09-29 18:20:55.256095Z,2187464508
Texting correct person,multiple_choice,Wrong Number,2022-09-29 20:01:07.421017Z,1119221376
Texting correct person,multiple_choice,Contacted,2022-09-29 18:15:05.263373Z,2170447899
Texting correct person,multiple_choice,Contacted,2022-09-30 15:47:47.690243Z,2123888864
Texting correct person,multiple_choice,Contacted,2022-09-29 18:18:25.326189Z,2179192264
Texting correct person,multiple_choice,Wrong Number,2022-09-29 20:30:42.469771Z,2178650679
Texting correct person,multiple_choice,Contacted,2022-09-29 20:08:22.238102Z,2145999724
Texting correct person,multiple_choice,Contacted,2022-09-30 15:48:29.175706Z,2121986057
Texting correct person,multiple_choice,Wrong Number,2022-09-29 20:31:16.932847Z,1153469261
Texting correct person,multiple_choice,Contacted,2022-09-30 15:34:59.342924Z,1103942287
Texting correct person,multiple_choice,Contacted,2022-09-30 16:15:18.679140Z,1121548492
Texting correct person,multiple_choice,Contacted,2022-09-30 15:43:42.977254Z,2178529666
Texting correct person,multiple_choice,Contacted,2022-09-30 15:45:13.873238Z,1203400517
Texting correct person,multiple_choice,Contacted,2022-09-30 15:55:32.648059Z,2180332978
Texting correct person,multiple_choice,Refused,2022-09-30 16:10:05.904777Z,1102288308
Texting correct person,multiple_choice,Contacted,2022-09-30 16:10:18.313351Z,1209132777
Texting correct person,multiple_choice,Contacted,2022-09-30 16:13:30.740447Z,2133921550
Texting correct person,multiple_choice,Refused,2022-09-30 16:15:11.844312Z,2134295256
Texting correct person,multiple_choice,Wrong Number,2022-09-29 20:34:06.392357Z,1102381918
Texting correct person,multiple_choice,Wrong Number,2022-09-30 16:21:13.140957Z,2137849233
Texting correct person,multiple_choice,Contacted,2022-09-29 20:32:31.299852Z,2127199855
Texting correct person,multiple_choice,Contacted,2022-09-29 20:09:39.002748Z,1185767924
Texting correct person,multiple_choice,Contacted,2022-09-29 20:22:40.855018Z,2123590810
Texting correct person,multiple_choice,Contacted,2022-09-29 20:34:13.384600Z,2184567301
Texting correct person,multiple_choice,Contacted,2022-09-29 20:22:24.436092Z,1143689024
Texting correct person,multiple_choice,Contacted,2022-09-29 20:11:46.549771Z,1201571112
Texting correct person,multiple_choice,Wrong Number,2022-09-29 22:48:24.121856Z,1212405184
Texting correct person,multiple_choice,Contacted,2022-09-30 15:52:39.856141Z,1119246041
Texting correct person,multiple_choice,Wrong Number,2022-09-30 16:16:21.055287Z,2160909174
Texting correct person,multiple_choice,Contacted,2022-09-30 15:51:34.125559Z,2001754649
Texting correct person,multiple_choice,Refused,2022-09-30 16:21:19.788742Z,1191750415
Texting correct person,multiple_choice,Wrong Number,2022-09-30 16:22:09.768128Z,1154460658
Texting correct person,multiple_choice,Contacted,2022-09-30 15:43:12.844912Z,1061260847
Texting correct person,multiple_choice,Refused,2022-09-30 16:16:14.228665Z,2187323984
Texting correct person,multiple_choice,Contacted,2022-09-30 15:45:58.660683Z,1147395094
Texting correct person,multiple_choice,Contacted,2022-09-30 15:34:32.529360Z,2153867488
Texting correct person,multiple_choice,Contacted,2022-09-29 22:29:22.959018Z,1211848700
Texting correct person,multiple_choice,Contacted,2022-09-30 15:53:56.366741Z,2188489848
Texting correct person,multiple_choice,Contacted,2022-09-29 16:59:15.159619Z,2003071645
Texting correct person,multiple_choice,Wrong Number,2022-09-29 17:19:05.781582Z,2184343544
Texting correct person,multiple_choice,Refused,2022-09-30 16:06:47.761021Z,1202694895
Texting correct person,multiple_choice,Wrong Number,2022-09-29 16:47:52.247103Z,1112335062
Texting correct person,multiple_choice,Wrong Number,2022-09-29 17:19:37.396564Z,2001517398
Texting correct person,multiple_choice,Wrong Number,2022-09-29 17:13:39.500094Z,1112405725
Texting correct person,multiple_choice,Contacted,2022-09-30 15:56:30.275022Z,2158213781
Texting correct person,multiple_choice,Contacted,2022-09-30 15:44:16.870978Z,1110277717
Texting correct person,multiple_choice,Contacted,2022-09-30 15:53:49.068616Z,2137839489
Texting correct person,multiple_choice,Wrong Number,2022-09-29 22:23:25.671780Z,2154751218
Texting correct person,multiple_choice,Wrong Number,2022-09-29 16:46:14.379943Z,1119203572
Texting correct person,multiple_choice,Wrong Number,2022-09-29 22:28:07.669632Z,2184040842
Texting correct person,multiple_choice,Contacted,2022-09-30 15:40:23.309220Z,1102365946
Texting correct person,multiple_choice,Contacted,2022-09-29 22:25:34.920545Z,1152945860
Texting correct person,multiple_choice,Refused,2022-09-29 17:22:45.664163Z,1213880708
Texting correct person,multiple_choice,Contacted,2022-09-29 16:43:46.496617Z,2128428129
Texting correct person,multiple_choice,Contacted,2022-09-29 17:20:14.256993Z,2165258760
Texting correct person,multiple_choice,Contacted,2022-09-29 17:00:22.521089Z,2180450496
Texting correct person,multiple_choice,Wrong Number,2022-09-29 17:13:34.099722Z,1148131140
Texting correct person,multiple_choice,Contacted,2022-09-29 16:44:45.622406Z,1112447565
Texting correct person,multiple_choice,Refused,2022-09-29 17:21:21.149490Z,1119135839
Texting correct person,multiple_choice,Wrong Number,2022-09-29 16:50:55.468998Z,1105752187
Texting correct person,multiple_choice,Wrong Number,2022-09-29 17:14:37.206861Z,2184738511
Texting correct person,multiple_choice,Wrong Number,2022-09-30 15:31:12.505862Z,1215959963
Texting correct person,multiple_choice,Wrong Number,2022-09-29 17:09:51.853749Z,1168952924
Texting correct person,multiple_choice,Refused,2022-09-30 15:35:24.824079Z,1141625239
Texting correct person,multiple_choice,Contacted,2022-09-29 17:02:22.252290Z,1150168717
Texting correct person,multiple_choice,Contacted,2022-09-29 16:44:11.015279Z,1119196179
Texting correct person,multiple_choice,Refused,2022-09-30 16:22:50.569055Z,2185306361
Texting correct person,multiple_choice,Wrong Number,2022-09-29 16:39:54.749936Z,2001223992
Texting correct person,multiple_choice,Wrong Number,2022-09-30 15:35:34.734791Z,2143328607
Texting correct person,multiple_choice,Wrong Number,2022-09-29 16:46:29.625387Z,1119203720
Texting correct person,multiple_choice,Contacted,2022-09-29 17:14:51.943086Z,1103069179
Texting correct person,multiple_choice,Contacted,2022-09-30 15:46:43.640328Z,1180944303
Texting correct person,multiple_choice,Wrong Number,2022-09-29 17:20:26.707992Z,1171605085
Texting correct person,multiple_choice,Contacted,2022-09-30 15:51:12.624041Z,2143516585
Texting correct person,multiple_choice,Wrong Number,2022-09-29 22:20:26.932393Z,1110652562
Texting correct person,multiple_choice,Refused,2022-09-30 15:51:50.755338Z,1114456561
Texting correct person,multiple_choice,Contacted,2022-09-30 16:18:14.655894Z,2001837800
Texting correct person,multiple_choice,Refused,2022-09-30 15:33:38.472225Z,1107270162
Texting correct person,multiple_choice,Refused,2022-09-30 16:13:47.544448Z,2192097772
Texting correct person,multiple_choice,Refused,2022-09-30 16:06:33.767294Z,1110692399
Texting correct person,multiple_choice,Wrong Number,2022-09-29 17:18:08.340582Z,2120598774
Texting correct person,multiple_choice,Refused,2022-09-29 17:21:30.420653Z,2120801813
Texting correct person,multiple_choice,Wrong Number,2022-09-30 15:47:10.242316Z,2134220242
Texting correct person,multiple_choice,Wrong Number,2022-09-29 17:08:30.805329Z,1178861174
Texting correct person,multiple_choice,Contacted,2022-09-30 15:56:43.483695Z,1111191615
Texting correct person,multiple_choice,Contacted,2022-09-30 15:57:57.233811Z,2179361930
Texting correct person,multiple_choice,Contacted,2022-09-30 15:38:48.145657Z,1161169183
Texting correct person,multiple_choice,Refused,2022-09-30 16:14:44.542292Z,1184967878
Texting correct person,multiple_choice,Contacted,2022-09-30 15:52:49.096146Z,1146383861
Texting correct person,multiple_choice,Contacted,2022-09-30 16:09:05.443906Z,1102280756
Texting correct person,multiple_choice,Spanish,2022-09-29 22:49:58.060364Z,1199871982
Texting correct person,multiple_choice,Contacted,2022-09-30 15:41:17.827516Z,2164272012
Texting correct person,multiple_choice,Contacted,2022-09-29 16:42:41.707327Z,1104248838
Texting correct person,multiple_choice,Wrong Number,2022-09-29 17:21:42.700465Z,1104208603
Texting correct person,multiple_choice,Wrong Number,2022-09-29 16:42:30.680645Z,2176204793
Texting correct person,multiple_choice,Wrong Number,2022-09-30 16:09:30.731656Z,--
Texting correct person,multiple_choice,Wrong Number,2022-09-29 22:16:18.130124Z,1103201280
Texting correct person,multiple_choice,Contacted,2022-09-30 15:44:32.638944Z,2184005065
Texting correct person,multiple_choice,Contacted,2022-09-30 16:11:22.200055Z,2124474180
Texting correct person,multiple_choice,Contacted,2022-09-30 15:48:03.333898Z,2163935663
Texting correct person,multiple_choice,Refused,2022-09-30 16:09:59.036368Z,2134155854
Texting correct person,multiple_choice,Wrong Number,2022-09-30 15:56:14.628638Z,1103577879
Texting correct person,multiple_choice,Contacted,2022-09-29 22:25:05.873055Z,1102344612
Texting correct person,multiple_choice,Wrong Number,2022-09-29 17:19:47.112428Z,2175663638
Texting correct person,multiple_choice,Contacted,2022-09-29 16:55:03.604596Z,2166127963
Texting correct person,multiple_choice,Contacted,2022-09-29 16:59:40.162522Z,1166780672
Texting correct person,multiple_choice,Contacted,2022-09-29 16:59:59.983458Z,2159634239
Texting correct person,multiple_choice,Refused,2022-09-29 17:18:43.822765Z,1194319002
Texting correct person,multiple_choice,Contacted,2022-09-30 16:15:03.122770Z,2177616562
Texting correct person,multiple_choice,Contacted,2022-09-30 15:54:59.763851Z,2141580130
Texting correct person,multiple_choice,Wrong Number,2022-09-29 16:39:52.983959Z,1112319408
Texting correct person,multiple_choice,Contacted,2022-09-29 16:43:46.176832Z,2177336319
Texting correct person,multiple_choice,Wrong Number,2022-09-29 16:46:01.314970Z,1119204682
Texting correct person,multiple_choice,Refused,2022-09-29 16:46:18.620144Z,1198113685
Texting correct person,multiple_choice,Wrong Number,2022-09-29 16:46:24.206847Z,1218141326
Texting correct person,multiple_choice,Contacted,2022-09-30 16:18:21.331195Z,2131950131
Texting correct person,multiple_choice,Wrong Number,2022-09-29 16:53:14.594247Z,1165085303
Texting correct person,multiple_choice,Contacted,2022-09-30 15:55:43.862090Z,1103049503
Texting correct person,multiple_choice,Contacted,2022-09-30 15:49:15.776887Z,2142760737
Texting correct person,multiple_choice,Wrong Number,2022-09-29 17:18:13.963009Z,1111231838
Texting correct person,multiple_choice,Wrong Number,2022-09-29 17:20:50.361184Z,1108866721
Texting correct person,multiple_choice,Contacted,2022-09-30 15:55:53.120268Z,1206397977
Texting correct person,multiple_choice,Wrong Number,2022-09-29 17:19:29.647232Z,1178785322
