Voter ID,Date Called,Time Called (EST),Contact Outcome
2138077505,11/3/22,12:16 PM EST,Hangup
2131695899,11/3/22,12:21 PM EST,Hangup
1119153981,11/3/22,12:19 PM EST,Not Home (1)
2136761568,10/24/22,12:59 PM EST,Talking to Correct Person
1102685132,11/3/22,12:25 PM EST,Wrong Number (20)
1187121302,11/3/22,12:23 PM EST,Not Home (1)
1119153981,11/3/22,12:19 PM EST,Not Home (1)
1212692149,10/25/22,05:07 PM EST,Wrong Number (20)
2161199924,10/31/22,12:26 PM EST,Wrong Number (20)
1116927022,10/31/22,12:29 PM EST,Not Home (1)
2159659670,10/25/22,05:13 PM EST,Wrong Number (20)
2150555717,10/25/22,05:08 PM EST,Talking to Correct Person
2130599262,11/3/22,12:27 PM EST,Not Home (1)
2145726178,10/25/22,05:13 PM EST,Talking to Correct Person
2120833432,11/3/22,12:30 PM EST,Not Home (1)
1177509507,11/3/22,12:32 PM EST,Not Home (1)
2123166729,10/25/22,05:21 PM EST,Talking to Correct Person
2185583493,10/25/22,05:20 PM EST,Talking to Correct Person
2131680767,11/1/22,05:28 PM EST,Not Home (1)
1145975557,11/3/22,12:42 PM EST,Talking to Correct Person
2000357484,10/25/22,05:29 PM EST,Wrong Number (20)
2190727249,10/25/22,05:34 PM EST,Wrong Number (20)
2153251457,11/3/22,12:51 PM EST,Hangup
2142819270,10/25/22,05:36 PM EST,Talking to Correct Person
2135862312,11/2/22,05:14 PM EST,Hangup
2138077505,11/3/22,12:16 PM EST,Wrong Number (20)
2128043147,11/3/22,12:25 PM EST,Hangup
1172386006,10/31/22,12:29 PM EST,Wrong Number (20)
1110724821,10/31/22,12:24 PM EST,Talking to Correct Person
2176126397,10/31/22,12:30 PM EST,Talking to Correct Person
1162286667,11/3/22,12:23 PM EST,Hangup
1145975557,11/3/22,12:42 PM EST,Hangup
1208213243,10/31/22,12:36 PM EST,Hangup
1205633193,10/31/22,12:32 PM EST,Talking to Correct Person
2188894666,11/1/22,05:28 PM EST,Not Home (1)
2120833432,11/3/22,12:30 PM EST,Not Home (1)
1102728442,10/31/22,12:42 PM EST,Other Language
2190721662,11/3/22,12:45 PM EST,Hangup
2001846765,10/31/22,12:39 PM EST,Wrong Number (20)
2131033132,10/31/22,12:37 PM EST,Wrong Number (20)
1221192497,10/31/22,12:41 PM EST,Wrong Number (20)
2149006244,10/31/22,12:42 PM EST,Wrong Number (20)
2160603519,10/31/22,12:41 PM EST,Wrong Number (20)
2169170521,10/31/22,12:46 PM EST,Hangup
2143245279,10/31/22,12:43 PM EST,Talking to Correct Person
1213671589,10/31/22,12:43 PM EST,Talking to Correct Person
2120637150,10/31/22,12:45 PM EST,Talking to Correct Person
1178156403,10/31/22,12:48 PM EST,Wrong Number (20)
1060430234,10/31/22,12:46 PM EST,Talking to Correct Person
1193606504,10/31/22,12:45 PM EST,Talking to Correct Person
2160986131,10/31/22,12:49 PM EST,Wrong Number (20)
2144212112,10/31/22,12:52 PM EST,Talking to Correct Person
1170167426,11/3/22,01:24 PM EST,Not Home (1)
2189281389,11/3/22,01:22 PM EST,Hangup
2130581100,11/3/22,01:20 PM EST,Other Language
1200924594,11/3/22,01:27 PM EST,Wrong Number (20)
2137835105,11/3/22,01:22 PM EST,Talking to Correct Person
1189778443,10/31/22,12:52 PM EST,Wrong Number (20)
2188896112,11/3/22,01:25 PM EST,Not Home (1)
2191358548,11/3/22,01:26 PM EST,Not Home (1)
1106988083,10/31/22,12:56 PM EST,Talking to Correct Person
2185515934,10/31/22,12:54 PM EST,Wrong Number (20)
2142921655,10/31/22,12:57 PM EST,Talking to Correct Person
1158726784,11/3/22,01:27 PM EST,Hangup
1150038143,11/3/22,12:47 PM EST,Not Home (1)
1147013028,10/31/22,12:58 PM EST,Talking to Correct Person
2135987468,10/31/22,01:00 PM EST,Talking to Correct Person
1113377599,11/3/22,01:38 PM EST,Hangup
1121941748,10/31/22,12:59 PM EST,Wrong Number (20)
1188134075,10/31/22,12:59 PM EST,Talking to Correct Person
2122654475,10/31/22,01:04 PM EST,Talking to Correct Person
1214745428,10/31/22,01:04 PM EST,Talking to Correct Person
1153824514,10/31/22,01:02 PM EST,Wrong Number (20)
1104276688,10/31/22,01:02 PM EST,Talking to Correct Person
2140083917,11/3/22,01:38 PM EST,Hangup
1154798571,10/31/22,01:05 PM EST,Talking to Correct Person
1111817129,10/31/22,01:06 PM EST,Talking to Correct Person
2124915611,11/1/22,05:54 PM EST,Not Home (1)
1108780854,11/3/22,01:42 PM EST,Not Home (1)
1159421156,11/3/22,01:46 PM EST,Not Home (1)
2130195521,10/31/22,01:07 PM EST,Talking to Correct Person
2130227189,10/31/22,01:08 PM EST,Talking to Correct Person
2120748433,10/31/22,01:10 PM EST,Talking to Correct Person
2003070336,11/2/22,05:46 PM EST,Hangup
2000958971,11/3/22,01:51 PM EST,Not Home (1)
1187285647,11/3/22,01:50 PM EST,Not Home (1)
2142826099,10/31/22,01:09 PM EST,Wrong Number (20)
2188922933,10/31/22,01:10 PM EST,Wrong Number (20)
2120901516,10/31/22,01:12 PM EST,Wrong Number (20)
2159944904,10/31/22,01:11 PM EST,Wrong Number (20)
1109095713,11/1/22,05:54 PM EST,Hangup
2149870752,10/31/22,01:13 PM EST,Wrong Number (20)
1212086694,11/3/22,01:52 PM EST,Hangup
1106477336,11/3/22,01:04 PM EST,Not Home (1)
2192446496,11/3/22,01:57 PM EST,Other Language
1121597885,10/31/22,01:19 PM EST,Talking to Correct Person
1115284516,10/31/22,01:17 PM EST,Talking to Correct Person
1106727228,11/3/22,02:01 PM EST,Not Home (1)
1199742238,11/2/22,05:49 PM EST,Hangup
1208260799,10/31/22,01:17 PM EST,Wrong Number (20)
2173128826,11/3/22,01:59 PM EST,Not Home (1)
2185516277,10/31/22,01:21 PM EST,Wrong Number (20)
2185715015,11/1/22,06:04 PM EST,Hangup
2128578173,10/31/22,01:20 PM EST,Wrong Number (20)
2135983595,10/31/22,01:20 PM EST,Wrong Number (20)
2144448773,11/2/22,05:53 PM EST,Not Home (1)
2185547394,11/2/22,05:52 PM EST,Hangup
2124363544,11/2/22,05:51 PM EST,Hangup
1151971097,10/31/22,01:23 PM EST,Wrong Number (20)
2124474237,10/31/22,01:22 PM EST,Wrong Number (20)
1116831950,10/31/22,01:22 PM EST,Wrong Number (20)
1102530071,10/31/22,01:23 PM EST,Talking to Correct Person
2137201016,10/31/22,01:25 PM EST,Talking to Correct Person
1145616480,11/2/22,05:57 PM EST,Hangup
2190722292,10/31/22,01:28 PM EST,Wrong Number (20)
2123245201,11/2/22,05:55 PM EST,Talking to Correct Person
1152944791,10/31/22,01:29 PM EST,Wrong Number (20)
1155383958,10/31/22,01:26 PM EST,Other Language
1111722049,10/31/22,01:27 PM EST,Wrong Number (20)
1209643764,10/31/22,01:29 PM EST,Talking to Correct Person
1214030397,11/2/22,06:01 PM EST,Hangup
2159906366,11/2/22,06:02 PM EST,Not Home (1)
2002454763,11/2/22,05:58 PM EST,Hangup
1202344433,10/31/22,01:30 PM EST,Talking to Correct Person
1106906917,10/31/22,01:31 PM EST,Wrong Number (20)
2142824963,11/1/22,06:11 PM EST,Hangup
1122464184,10/31/22,01:35 PM EST,Talking to Correct Person
1221313740,11/2/22,06:01 PM EST,Hangup
2190913035,10/31/22,01:34 PM EST,Wrong Number (20)
2001763362,10/31/22,01:35 PM EST,Wrong Number (20)
1221490581,11/2/22,06:02 PM EST,Not Home (1)
1120760568,10/31/22,01:36 PM EST,Talking to Correct Person
2135861550,11/2/22,06:05 PM EST,Hangup
2190721875,10/31/22,01:35 PM EST,Wrong Number (20)
2165987867,10/31/22,01:38 PM EST,Wrong Number (20)
2185516811,11/2/22,06:03 PM EST,Deceased (4)
2185547478,10/31/22,01:39 PM EST,Wrong Number (20)
1205026813,10/31/22,01:39 PM EST,Other Language
2127900691,10/31/22,01:38 PM EST,Talking to Correct Person
2188494587,11/3/22,01:24 PM EST,Not Home (1)
1154441133,10/31/22,01:39 PM EST,Other Language
2170290914,10/31/22,01:42 PM EST,Wrong Number (20)
1186736524,11/2/22,06:04 PM EST,Not Home (1)
1119322919,10/31/22,01:41 PM EST,Wrong Number (20)
2188895169,10/31/22,01:41 PM EST,Other Language
1108740844,11/2/22,06:09 PM EST,Not Home (1)
1183157706,10/31/22,01:43 PM EST,Talking to Correct Person
2188984655,10/31/22,01:42 PM EST,Wrong Number (20)
1208618197,10/31/22,01:46 PM EST,Other Language
2121298795,11/2/22,05:49 PM EST,Hangup
2127436579,11/1/22,06:23 PM EST,Hangup
2192699150,11/1/22,06:26 PM EST,Not Home (1)
2185681717,11/2/22,06:18 PM EST,Not Home (1)
1168192751,10/31/22,01:47 PM EST,Wrong Number (20)
1212030163,10/31/22,01:45 PM EST,Wrong Number (20)
2179549413,10/31/22,01:46 PM EST,Talking to Correct Person
2130194078,10/31/22,01:47 PM EST,Talking to Correct Person
1154117297,10/31/22,01:48 PM EST,Not Home (1)
1110021627,11/2/22,06:15 PM EST,Hangup
2128582267,10/31/22,01:49 PM EST,Talking to Correct Person
1102296511,10/31/22,01:51 PM EST,Talking to Correct Person
2188893923,11/2/22,06:22 PM EST,Not Home (1)
2186639218,11/1/22,06:27 PM EST,Hangup
2176211357,10/31/22,01:56 PM EST,Talking to Correct Person
1202539398,11/2/22,06:26 PM EST,Hangup
1142222429,10/31/22,01:57 PM EST,Talking to Correct Person
1110972607,11/2/22,06:28 PM EST,Refused (2)
2159827993,10/31/22,02:01 PM EST,Talking to Correct Person
1119153981,11/3/22,12:19 PM EST,Hangup
2185578598,11/1/22,05:25 PM EST,Talking to Correct Person
1162286667,11/3/22,12:23 PM EST,Hangup
2142826449,11/1/22,05:25 PM EST,Wrong Number (20)
2003306758,11/1/22,05:27 PM EST,Wrong Number (20)
2190726836,11/3/22,12:27 PM EST,Hangup
1155065228,11/3/22,12:31 PM EST,Hangup
2190685490,11/3/22,12:30 PM EST,Not Home (1)
2135987729,11/1/22,05:27 PM EST,Talking to Correct Person
2120833432,11/3/22,12:30 PM EST,Not Home (1)
2131680767,11/1/22,05:28 PM EST,Hangup
2188894666,11/1/22,05:28 PM EST,Talking to Correct Person
1145975557,11/3/22,12:42 PM EST,Hangup
2133012892,11/3/22,12:37 PM EST,Other Language
2131218262,11/3/22,12:36 PM EST,Hangup
2159905435,11/3/22,12:49 PM EST,Hangup
2178722617,11/3/22,12:55 PM EST,Hangup
2188742849,11/1/22,05:40 PM EST,Talking to Correct Person
2141405687,11/1/22,05:43 PM EST,Wrong Number (20)
1205973631,11/2/22,05:24 PM EST,Hangup
2123651450,11/1/22,05:41 PM EST,Talking to Correct Person
2136176725,11/1/22,05:42 PM EST,Wrong Number (20)
2148805457,11/3/22,01:18 PM EST,Hangup
2159944511,11/3/22,01:08 PM EST,Other Language
1188824015,11/1/22,05:44 PM EST,Talking to Correct Person
1166958362,11/1/22,05:45 PM EST,Talking to Correct Person
1108586871,11/3/22,12:43 PM EST,Not Home (1)
2149115042,11/1/22,05:44 PM EST,Talking to Correct Person
2160960322,11/3/22,01:20 PM EST,Hangup
2160601604,11/1/22,05:45 PM EST,Wrong Number (20)
2179629166,11/2/22,05:31 PM EST,Hangup
1108093537,11/2/22,05:32 PM EST,Not Home (1)
2131689778,11/3/22,12:52 PM EST,Hangup
2133429442,11/3/22,01:27 PM EST,Not Home (1)
2151760714,11/3/22,12:51 PM EST,Wrong Number (20)
2142816711,11/3/22,01:29 PM EST,Hangup
1109438702,11/1/22,05:47 PM EST,Other Language
1147798625,11/1/22,05:47 PM EST,Talking to Correct Person
2149455358,11/3/22,01:26 PM EST,Hangup
2149457659,11/3/22,01:32 PM EST,Hangup
1213614283,11/2/22,05:37 PM EST,Not Home (1)
2127054685,11/1/22,05:51 PM EST,Talking to Correct Person
2124177270,11/2/22,05:38 PM EST,Hangup
2127542422,11/1/22,05:49 PM EST,Talking to Correct Person
1108983452,11/1/22,05:49 PM EST,Wrong Number (20)
2159863986,11/2/22,05:39 PM EST,Hangup
2128578028,11/3/22,01:39 PM EST,Wrong Number (20)
2120833053,11/1/22,05:53 PM EST,Talking to Correct Person
2187101008,11/3/22,01:43 PM EST,Hangup
1109095713,11/1/22,05:54 PM EST,Wrong Number (20)
2120453655,11/1/22,05:51 PM EST,Talking to Correct Person
2124915611,11/1/22,05:54 PM EST,Wrong Number (20)
2126844533,11/1/22,05:54 PM EST,Talking to Correct Person
1187285647,11/3/22,01:50 PM EST,Hangup
2000953538,11/3/22,01:06 PM EST,Hangup
2137656215,11/1/22,05:55 PM EST,Talking to Correct Person
2128580695,11/1/22,05:57 PM EST,Wrong Number (20)
2130378167,11/3/22,01:53 PM EST,Not Home (1)
2132765017,11/3/22,01:52 PM EST,Hangup
2159907507,11/1/22,05:59 PM EST,Other Language
2159610313,11/1/22,05:56 PM EST,Talking to Correct Person
2148806776,11/2/22,05:45 PM EST,Other Language
2186035769,11/3/22,01:46 PM EST,Hangup
2000958971,11/3/22,01:51 PM EST,Not Home (1)
1103636962,11/1/22,05:58 PM EST,Talking to Correct Person
2142828957,11/1/22,05:59 PM EST,Wrong Number (20)
1151648509,11/1/22,05:58 PM EST,Wrong Number (20)
1212399374,11/3/22,01:55 PM EST,Hangup
2122797446,11/3/22,01:58 PM EST,Other Language
2149456804,11/1/22,05:59 PM EST,Talking to Correct Person
1180436494,11/3/22,01:14 PM EST,Hangup
2185681260,11/1/22,05:59 PM EST,Talking to Correct Person
2173128826,11/3/22,01:59 PM EST,Not Home (1)
2147478761,11/1/22,06:03 PM EST,Wrong Number (20)
2153604341,11/1/22,06:01 PM EST,Talking to Correct Person
1183728483,11/3/22,02:01 PM EST,Hangup
2150268881,11/1/22,06:02 PM EST,Wrong Number (20)
1218942419,11/1/22,06:03 PM EST,Talking to Correct Person
2152548908,11/1/22,06:02 PM EST,Wrong Number (20)
2185910435,11/1/22,06:02 PM EST,Talking to Correct Person
2144448773,11/2/22,05:53 PM EST,Not Home (1)
1098609859,11/2/22,05:53 PM EST,Not Home (1)
2185715015,11/1/22,06:04 PM EST,Talking to Correct Person
1214190619,11/1/22,06:05 PM EST,Talking to Correct Person
2188494587,11/3/22,01:24 PM EST,Hangup
2130194182,11/1/22,06:08 PM EST,Wrong Number (20)
2185716377,11/2/22,05:55 PM EST,Not Home (1)
2142921686,11/2/22,05:55 PM EST,Hangup
1211649849,11/2/22,05:57 PM EST,Hangup
2137589931,11/1/22,06:07 PM EST,Wrong Number (20)
2185516126,11/1/22,06:06 PM EST,Wrong Number (20)
2160633225,11/1/22,06:07 PM EST,Wrong Number (20)
1116736954,11/1/22,06:09 PM EST,Wrong Number (20)
2001170832,11/1/22,06:10 PM EST,Wrong Number (20)
2184294225,11/1/22,06:10 PM EST,Wrong Number (20)
1116514847,11/2/22,06:01 PM EST,Hangup
2156239357,11/2/22,05:59 PM EST,Hangup
2142824963,11/1/22,06:11 PM EST,Wrong Number (20)
1106728854,11/1/22,06:12 PM EST,Wrong Number (20)
2150582017,11/2/22,05:59 PM EST,Hangup
1102647451,11/1/22,06:12 PM EST,Wrong Number (20)
2177379448,11/2/22,06:00 PM EST,Not Home (1)
1214030397,11/2/22,06:01 PM EST,Other Language
1106489522,11/3/22,01:38 PM EST,Hangup
2159906366,11/2/22,06:02 PM EST,Other Language
2188741992,11/1/22,06:14 PM EST,Wrong Number (20)
2185196475,11/1/22,06:14 PM EST,Wrong Number (20)
2148678117,11/2/22,06:03 PM EST,Hangup
2188742376,11/2/22,06:02 PM EST,Other Language
1209625787,11/1/22,06:16 PM EST,Wrong Number (20)
2185547228,11/1/22,06:16 PM EST,Wrong Number (20)
1105663048,11/1/22,06:15 PM EST,Wrong Number (20)
2142484769,11/1/22,06:17 PM EST,Talking to Correct Person
1105273186,11/1/22,06:18 PM EST,Talking to Correct Person
1186736524,11/2/22,06:04 PM EST,Not Home (1)
1201618636,11/1/22,06:18 PM EST,Talking to Correct Person
2158544582,11/1/22,06:19 PM EST,Wrong Number (20)
2135861550,11/2/22,06:05 PM EST,Not Home (1)
1103106314,11/1/22,06:18 PM EST,Wrong Number (20)
2191358684,11/2/22,06:07 PM EST,Hangup
1193977818,11/1/22,06:20 PM EST,Wrong Number (20)
1216366819,11/3/22,01:47 PM EST,Hangup
1109210210,11/1/22,06:22 PM EST,Wrong Number (20)
2135782050,11/2/22,06:08 PM EST,Not Home (1)
1179803510,11/2/22,06:10 PM EST,Hangup
2001761197,11/1/22,06:22 PM EST,Wrong Number (20)
1107361924,11/2/22,05:53 PM EST,Wrong Number (20)
1183792330,11/1/22,06:23 PM EST,Wrong Number (20)
1211304031,11/2/22,06:12 PM EST,Hangup
2127436579,11/1/22,06:23 PM EST,Talking to Correct Person
1110021627,11/2/22,06:15 PM EST,Hangup
1117119718,11/2/22,06:13 PM EST,Hangup
1187994450,11/2/22,06:15 PM EST,Other Language
2180292402,11/2/22,06:15 PM EST,Hangup
2135983856,11/1/22,06:26 PM EST,Talking to Correct Person
2185578669,11/2/22,06:19 PM EST,Hangup
2149455327,11/2/22,06:22 PM EST,Hangup
2188893923,11/2/22,06:22 PM EST,Not Home (1)
2186639218,11/1/22,06:27 PM EST,Wrong Number (20)
1209905013,11/2/22,06:23 PM EST,Hangup
1110249966,11/2/22,06:23 PM EST,Not Home (1)
1202430602,11/2/22,05:59 PM EST,Hangup
1203774826,11/2/22,06:28 PM EST,Hangup
1106105154,11/1/22,06:29 PM EST,Talking to Correct Person
1103069292,11/1/22,06:32 PM EST,Talking to Correct Person
1117208492,11/2/22,06:28 PM EST,Hangup
2135861901,11/1/22,06:32 PM EST,Talking to Correct Person
1177343474,11/2/22,06:29 PM EST,Hangup
1107255026,11/2/22,06:29 PM EST,Hangup
2185547216,11/1/22,06:29 PM EST,Talking to Correct Person
2153255287,11/2/22,06:30 PM EST,Hangup
1180801940,11/2/22,06:31 PM EST,Not Home (1)
2188984820,11/2/22,06:30 PM EST,Wrong Number (20)
1119058622,11/2/22,06:01 PM EST,Hangup
2154310803,11/2/22,06:31 PM EST,Not Home (1)
2136129979,11/1/22,06:37 PM EST,Talking to Correct Person
1149981949,11/1/22,06:38 PM EST,Wrong Number (20)
2160370498,11/2/22,06:33 PM EST,Hangup
1016266336,11/2/22,06:33 PM EST,Hangup
1147647656,11/1/22,06:40 PM EST,Hangup
1198430962,11/1/22,06:40 PM EST,Wrong Number (20)
1147647656,11/1/22,06:40 PM EST,Talking to Correct Person
1197686810,11/1/22,06:42 PM EST,Talking to Correct Person
2159903942,11/1/22,06:43 PM EST,Talking to Correct Person
2140343195,11/1/22,06:46 PM EST,Talking to Correct Person
2154310646,11/1/22,06:48 PM EST,Hangup
2177838845,11/2/22,05:41 PM EST,Talking to Correct Person
2135862312,11/2/22,05:14 PM EST,Deliverability Error (212)
2131695899,11/3/22,12:21 PM EST,Hangup
1111247793,11/3/22,12:23 PM EST,Talking to Correct Person
2190726836,11/3/22,12:27 PM EST,Hangup
2190685490,11/3/22,12:30 PM EST,Hangup
1119153981,11/3/22,12:19 PM EST,Hangup
1202860517,11/2/22,05:19 PM EST,Talking to Correct Person
2120833432,11/3/22,12:30 PM EST,Not Home (1)
1145975557,11/3/22,12:42 PM EST,Hangup
1214147187,11/3/22,12:46 PM EST,Hangup
1121262652,11/2/22,05:22 PM EST,Wrong Number (20)
1166003943,11/3/22,12:48 PM EST,Hangup
1214351182,11/3/22,12:51 PM EST,Hangup
2133012892,11/3/22,12:37 PM EST,Not Home (1)
2131218262,11/3/22,12:36 PM EST,Hangup
2160219588,11/2/22,05:24 PM EST,Wrong Number (20)
2134929808,11/3/22,12:38 PM EST,Hangup
1205973631,11/2/22,05:24 PM EST,Talking to Correct Person
2137834844,11/3/22,12:57 PM EST,Wrong Number (20)
2178580406,11/3/22,01:06 PM EST,Talking to Correct Person
2123996042,11/2/22,05:25 PM EST,Wrong Number (20)
2128762457,11/2/22,05:25 PM EST,Wrong Number (20)
2137834790,11/3/22,12:44 PM EST,Hangup
1102656403,11/2/22,05:26 PM EST,Wrong Number (20)
1194877416,11/2/22,05:28 PM EST,Wrong Number (20)
2148807446,11/3/22,01:17 PM EST,Hangup
2135861739,11/3/22,01:17 PM EST,Hangup
2131689778,11/3/22,12:52 PM EST,Hangup
1210372797,11/3/22,01:16 PM EST,Hangup
2179629166,11/2/22,05:31 PM EST,Other Language
1118140530,11/2/22,05:32 PM EST,Wrong Number (20)
2136342703,11/3/22,01:23 PM EST,Hangup
1160755114,11/2/22,05:31 PM EST,Wrong Number (20)
1115942438,11/3/22,12:54 PM EST,Other Language
1116614646,11/2/22,05:33 PM EST,Talking to Correct Person
1161410701,11/2/22,05:35 PM EST,Talking to Correct Person
2188894467,11/2/22,05:35 PM EST,Wrong Number (20)
1118115713,11/2/22,05:36 PM EST,Wrong Number (20)
2159906977,11/2/22,05:35 PM EST,Wrong Number (20)
2158266419,11/3/22,01:27 PM EST,Other Language
2124177270,11/2/22,05:38 PM EST,Talking to Correct Person
2133429442,11/3/22,01:27 PM EST,Hangup
1213614283,11/2/22,05:37 PM EST,Wrong Number (20)
2142816711,11/3/22,01:29 PM EST,Hangup
2000953538,11/3/22,01:06 PM EST,Hangup
2149457659,11/3/22,01:32 PM EST,Hangup
2129093464,11/2/22,05:40 PM EST,Wrong Number (20)
1106826569,11/2/22,05:40 PM EST,Wrong Number (20)
1102312031,11/3/22,01:46 PM EST,Not Home (1)
1165212988,11/3/22,01:41 PM EST,Not Home (1)
2135861827,11/2/22,05:41 PM EST,Talking to Correct Person
2123885521,11/2/22,05:43 PM EST,Wrong Number (20)
2158214202,11/2/22,05:42 PM EST,Talking to Correct Person
2148806776,11/2/22,05:45 PM EST,Wrong Number (20)
1208196131,11/2/22,05:45 PM EST,Wrong Number (20)
1186729341,11/2/22,05:46 PM EST,Talking to Correct Person
2003070336,11/2/22,05:46 PM EST,Talking to Correct Person
2126678746,11/2/22,05:47 PM EST,Wrong Number (20)
2159936357,11/3/22,01:48 PM EST,Hangup
1176273437,11/2/22,05:47 PM EST,Talking to Correct Person
1171723490,11/2/22,05:47 PM EST,Wrong Number (20)
2159906912,11/2/22,05:47 PM EST,Wrong Number (20)
2159904784,11/2/22,05:48 PM EST,Wrong Number (20)
1199742238,11/2/22,05:49 PM EST,Wrong Number (20)
2121298795,11/2/22,05:49 PM EST,Wrong Number (20)
1106489522,11/3/22,01:38 PM EST,Hangup
2173128826,11/3/22,01:59 PM EST,Hangup
1183728483,11/3/22,02:01 PM EST,Hangup
2186428823,11/2/22,05:52 PM EST,Hangup
2186480764,11/3/22,02:01 PM EST,Hangup
2128586847,11/2/22,05:52 PM EST,Talking to Correct Person
1098609859,11/2/22,05:53 PM EST,Wrong Number (20)
2149463183,11/2/22,05:53 PM EST,Talking to Correct Person
1107361924,11/2/22,05:53 PM EST,Talking to Correct Person
2176524167,11/2/22,05:55 PM EST,Hangup
2142921686,11/2/22,05:55 PM EST,Hangup
2000959017,11/2/22,05:55 PM EST,Other Language
2128757352,11/2/22,05:57 PM EST,Wrong Number (20)
1211649849,11/2/22,05:57 PM EST,Talking to Correct Person
1202430602,11/2/22,05:59 PM EST,Hangup
2138672093,11/2/22,05:57 PM EST,Hangup
2135952447,11/2/22,05:58 PM EST,Other Language
1100541704,11/2/22,06:01 PM EST,Hangup
2156239357,11/2/22,05:59 PM EST,Hangup
2168557073,11/2/22,06:00 PM EST,Wrong Number (20)
2135985093,11/2/22,06:00 PM EST,Talking to Correct Person
--,11/2/22,06:00 PM EST,Not Home (1)
1200587722,11/2/22,06:01 PM EST,Hangup
1119058622,11/2/22,06:01 PM EST,Not Home (1)
2140081665,11/2/22,06:02 PM EST,Talking to Correct Person
1214030397,11/2/22,06:01 PM EST,Other Language
1221490581,11/2/22,06:02 PM EST,Hangup
1152918030,11/2/22,06:03 PM EST,Wrong Number (20)
2188742376,11/2/22,06:02 PM EST,Not Home (1)
2185516811,11/2/22,06:03 PM EST,Talking to Correct Person
1186736524,11/2/22,06:04 PM EST,Hangup
2141134564,11/2/22,06:04 PM EST,Other Language
2002170000,11/2/22,06:04 PM EST,Talking to Correct Person
2125039825,11/2/22,06:05 PM EST,Wrong Number (20)
2135861550,11/2/22,06:05 PM EST,Hangup
1112155681,11/2/22,06:07 PM EST,Talking to Correct Person
2135782050,11/2/22,06:08 PM EST,Hangup
1209642724,11/2/22,06:07 PM EST,Wrong Number (20)
2160051496,11/2/22,06:07 PM EST,Talking to Correct Person
1108740844,11/2/22,06:09 PM EST,Wrong Number (20)
1179803510,11/2/22,06:10 PM EST,Wrong Number (20)
1211304031,11/2/22,06:12 PM EST,Hangup
2175737278,11/2/22,06:12 PM EST,Talking to Correct Person
2128984524,11/2/22,06:15 PM EST,Wrong Number (20)
1114369186,11/2/22,06:15 PM EST,Talking to Correct Person
2127901427,11/2/22,06:20 PM EST,Hangup
